1314,29,1,28
1452,69,5,64
1455,24,0,24
1457,0,22,22
1467,0,27,27
1471,13,0,13
1472,2,26,24
1604,20,0,20
1718,25,12,13
1905,21,0,21
2002,21,9,12
2102,80,0,80
2105,13,0,13
2323,79,59,20
2325,11,0,11
2330,0,18,18
2331,0,11,11
2344,0,20,20
2352,17,0,17
2356,29,11,18
2390,26,57,31
2401,0,25,25
2409,38,121,83
2439,0,12,12
2442,12,0,12
2444,10,0,10
2489,0,10,10
2498,57,24,33
2515,25,52,27
2542,11,0,11
2603,10,0,10
2880,15,0,15
2883,95,60,35
2887,0,11,11
2890,10,0,10
2892,16,0,16
3005,0,11,11
3023,2,21,19
3030,3,14,11
3060,26,60,34
3105,17,36,19
3230,0,21,21
3231,12,0,12
3504,0,21,21
3624,15,0,15
3662,0,15,15
4127,17,3,14
4703,22,10,12
4958F-,12,0,12
4960,1,21,20
5508,10,0,10
6109,0,10,10
6114,0,14,14
8069,0,22,22
8076,21,0,21
8112,1,17,16
8404F-,35,55,20
9104,0,13,13
9105,0,73,73
9911,0,10,10
