1314,377,16,361
1718,400,777,377
2023,98,3,95
2027,193,2,191
2035,4,143,139
2106,4,300,296
2204,105,0,105
2303,615,90,525
2311,132,55,77
2313,1363,293,1070
2316,239,21,218
2317,1630,700,930
2337,475,1045,570
2344,445,131,314
2353,275,153,122
2376,2,360,358
2377,2,403,401
2379,150,1,149
2409,319,206,113
2448,375,41,334
2455,89,499,410
2456,5,195,190
2458,147,569,422
2472,79,3,76
2474,37,372,335
2603,135,2647,2512
2609,356,2208,1852
2823,3,2225,2222
2841,86,246,160
2856,0,160,160
2880,102,2,100
2881,616,19,597
2883,13,166,153
2888,812,400,412
2890,123,326,203
3035,24,323,299
3078,289,63,226
3086,143,11,132
3105,328,1034,706
3209,119,17,102
3227,220,461,241
3234,17,721,704
3474,91,302,211
3527,205,52,153
3682,114,17,97
4174,517,97,420
5351,520,190,330
5483,52,346,294
5491,41,334,293
6120,264,103,161
6153,85,9,76
6197,4,150,146
6223,77,273,196
6244,73,563,490
8064,252,126,126
8069,29,248,219
8925,98,448,350
8928,112,2,110
9904,50,399,349
9938,248,133,115
